Nr	Name	Typ 1	Typ 2	KP	Ang	Ver	SpA	SpV	Init
043	Myrapla	Pflanze	Gift	45	50	55	75	65	30
044	Duflor	Pflanze	Gift	60	65	70	85	75	40
045	Giflor	Pflanze	Gift	75	80	85	110	90	50
046	Paras	Käfer	Pflanze	35	70	55	45	55	25
047	Parasek	Käfer	Pflanze	60	95	80	60	80	30
048	Bluzuk	Käfer	Gift	60	55	50	40	55	45
049	Omot	Käfer	Gift	70	65	60	90	75	90
050	Digda	Boden	-	10	55	25	35	45	95
051	Digdri	Boden	-	35	100	50	50	70	120
052	Mauzi	Normal	-	40	45	35	40	40	90
053	Snobilikat	Normal	-	65	70	60	65	65	115
054	Enton	Wasser	-	50	52	48	65	50	55
055	Entoron	Wasser	-	80	82	78	95	80	85
056	Menki	Kampf	-	40	80	35	35	45	70
057	Rasaff	Kampf	-	65	105	60	60	70	95
058	Fukano	Feuer	-	55	70	45	70	50	60
059	Arkani	Feuer	-	90	110	80	100	80	95
060	Quapsel	Wasser	-	40	50	40	40	40	90
061	Quaputzi	Wasser	-	65	65	65	50	50	90
062	Quappo	Wasser	Kampf	90	95	95	70	90	70
063	Abra	Psycho	-	25	20	15	105	55	90
064	Kadabra	Psycho	-	40	35	30	120	70	105
065	Simsala	Psycho	-	55	50	45	135	95	120
066	Machollo	Kampf	-	70	80	50	35	35	35
067	Maschock	Kampf	-	80	100	70	50	60	45
068	Machomei	Kampf	-	90	130	80	65	85	55
069	Knofensa	Pflanze	Gift	50	75	35	70	30	40
070	Ultrigaria	Pflanze	Gift	65	90	50	85	45	55
071	Sarzenia	Pflanze	Gift	80	105	65	100	70	70
072	Tentacha	Wasser	Gift	40	40	35	50	100	70
073	Tentoxa	Wasser	Gift	80	70	65	80	120	100
074	Kleinstein	Gestein	Boden	40	80	100	30	30	20
075	Georok	Gestein	Boden	55	95	115	45	45	35
076	Geowaz	Gestein	Boden	80	120	130	55	65	45
077	Ponita	Feuer	-	50	85	55	65	65	90
078	Gallopa	Feuer	-	65	100	70	80	80	105
079	Flegmon	Wasser	Psycho	90	65	65	40	40	15
080	Lahmus	Wasser	Psycho	95	75	110	100	80	30
081	Magnetilo	Elektro	Stahl	25	35	70	95	55	45
082	Magneton	Elektro	Stahl	50	60	95	120	70	70
083	Porenta	Normal	Flug	52	90	55	58	62	60
084	Dodu	Normal	Flug	35	85	45	35	35	75
085	Dodri	Normal	Flug	60	110	70	60	60	110
086	Jurob	Wasser	-	65	45	55	45	70	45
087	Jugong	Wasser	Eis	90	70	80	70	95	70
088	Sleima	Gift	-	80	80	50	40	50	25
089	Sleimok	Gift	-	105	105	75	65	100	50
090	Muschas	Wasser	-	30	65	100	45	25	40
091	Austos	Wasser	Eis	50	95	180	85	45	70
092	Nebulak	Geist	Gift	30	35	30	100	35	80
093	Alpollo	Geist	Gift	45	50	45	115	55	95
094	Gengar	Geist	Gift	60	65	60	130	75	110
095	Onix	Gestein	Boden	35	45	160	30	45	70
096	Traumato	Psycho	-	60	48	45	43	90	42
097	Hypno	Psycho	-	85	73	70	73	115	67
098	Krabby	Wasser	-	30	105	90	25	25	50
099	Kingler	Wasser	-	55	130	115	50	50	75
100	Voltobal	Elektro	-	40	30	50	55	55	100
101	Lektrobal	Elektro	-	60	50	70	80	80	150
102	Owei	Pflanze	Psycho	60	40	80	60	45	40
103	Kokowei	Pflanze	Psycho	95	95	85	125	75	55
104	Tragosso	Boden	-	50	50	95	40	50	35
105	Knogga	Boden	-	60	80	110	50	80	45
106	Kicklee	Kampf	-	50	120	53	35	110	87
107	Nockchan	Kampf	-	50	105	79	35	110	76
108	Schlurp	Normal	-	90	55	75	60	75	30
109	Smogon	Gift	-	40	65	95	60	45	35
110	Smogmog	Gift	-	65	90	120	85	70	60
111	Rihorn	Boden	Gestein	80	85	95	30	30	25
112	Rizeros	Boden	Gestein	105	130	120	45	45	40
113	Chaneira	Normal	-	250	5	5	35	105	50
114	Tangela	Pflanze	-	65	55	115	100	40	60
115	Kangama	Normal	-	105	95	80	40	80	90
116	Seeper	Wasser	-	30	40	70	70	25	60
117	Seemon	Wasser	-	55	65	95	95	45	85
118	Goldini	Wasser	-	45	67	60	35	50	63
119	Golking	Wasser	-	80	92	65	65	80	68
120	Sterndu	Wasser	-	30	45	55	70	55	85
121	Starmie	Wasser	Psycho	60	75	85	100	85	115
122	Pantimos	Psycho	Fee	40	45	65	100	120	90
123	Sichlor	Käfer	Flug	70	110	80	55	80	105
124	Rossana	Eis	Psycho	65	50	35	115	95	95
125	Elektek	Elektro	-	65	83	57	95	85	105
126	Magmar	Feuer	-	65	95	57	100	85	93
127	Pinsir	Käfer	-	65	125	100	55	70	85
128	Tauros	Normal	-	75	100	95	40	70	110
129	Karpador	Wasser	-	20	10	55	15	20	80
130	Garados	Wasser	Flug	95	125	79	60	100	81
131	Lapras	Wasser	Eis	130	85	80	85	95	60
132	Ditto	Normal	-	48	48	48	48	48	48
133	Evoli	Normal	-	55	55	50	45	65	55
134	Aquana	Wasser	-	130	65	60	110	95	65
135	Blitza	Elektro	-	65	65	60	110	95	130
136	Flamara	Feuer	-	65	130	60	95	110	65
137	Porygon	Normal	-	65	60	70	85	75	40
138	Amonitas	Gestein	Wasser	35	40	100	90	55	35
139	Amoroso	Gestein	Wasser	70	60	125	115	70	55
140	Kabuto	Gestein	Wasser	30	80	90	55	45	55
141	Kabutops	Gestein	Wasser	60	115	105	65	70	80
142	Aerodactyl	Gestein	Flug	80	105	65	60	75	130
143	Relaxo	Normal	-	160	110	65	65	110	30
144	Arktos	Eis	Flug	90	85	100	95	125	85
145	Zapdos	Elektro	Flug	90	90	85	125	90	100
146	Lavados	Feuer	Flug	90	100	90	125	85	90
147	Dratini	Drache	-	41	64	45	50	50	50
148	Dragonir	Drache	-	61	84	65	70	70	70
149	Dragoran	Drache	Flug	91	134	95	100	100	80
150	Mewtu	Psycho	-	106	110	90	154	90	130
151	Mew	Psycho	-	100	100	100	100	100	100
152	Endivie	Pflanze	-	45	49	65	49	65	45
153	Lorblatt	Pflanze	-	60	62	80	63	80	60
154	Meganie	Pflanze	-	80	82	100	83	100	80
155	Feurigel	Feuer	-	39	52	43	60	50	65
156	Igelavar	Feuer	-	58	64	58	80	65	80
157	Tornupto	Feuer	-	78	84	78	109	85	100
158	Karnimani	Wasser	-	50	65	64	44	48	43
159	Tyracroc	Wasser	-	65	80	80	59	63	58
160	Impergator	Wasser	-	85	105	100	79	83	78
161	Wiesor	Normal	-	35	46	34	35	45	20
162	Wiesenior	Normal	-	85	76	64	45	55	90
163	Hoothoot	Normal	Flug	60	30	30	36	56	50
164	Noctuh	Normal	Flug	100	50	50	86	96	70
165	Ledyba	Käfer	Flug	40	20	30	40	80	55
166	Ledian	Käfer	Flug	55	35	50	55	110	85
167	Webarak	Käfer	Gift	40	60	40	40	40	30
168	Ariados	Käfer	Gift	70	90	70	60	70	40
169	Iksbat	Gift	Flug	85	90	80	70	80	130
170	Lampi	Wasser	Elektro	75	38	38	56	56	67
171	Lanturn	Wasser	Elektro	125	58	58	76	76	67
172	Pichu	Elektro	-	20	40	15	35	35	60
173	Pii	Fee	-	50	25	28	45	55	15
174	Fluffeluff	Normal	Fee	90	30	15	40	20	15
175	Togepi	Fee	-	35	20	65	40	65	20
176	Togetic	Fee	Flug	55	40	85	80	105	40
177	Natu	Psycho	Flug	40	50	45	70	45	70
178	Xatu	Psycho	Flug	65	75	70	95	70	95
179	Voltilamm	Elektro	-	55	40	40	65	45	35
180	Waaty	Elektro	-	70	55	55	80	60	45
181	Ampharos	Elektro	-	90	75	85	115	90	55
182	Blubella	Pflanze	-	75	80	95	90	100	50
183	Marill	Wasser	Fee	70	20	50	20	50	40
184	Azumarill	Wasser	Fee	100	50	80	60	80	50
185	Mogelbaum	Gestein	-	70	100	115	30	65	30
186	Quaxo	Wasser	-	90	75	75	90	100	70
187	Hoppspross	Pflanze	Flug	35	35	40	35	55	50
188	Hubelupf	Pflanze	Flug	55	45	50	45	65	80
189	Papungha	Pflanze	Flug	75	55	70	55	95	110
190	Griffel	Normal	-	55	70	55	40	55	85
191	Sonnkern	Pflanze	-	30	30	30	30	30	30
192	Sonnflora	Pflanze	-	75	75	55	105	85	30
193	Yanma	Käfer	Flug	65	65	45	75	45	95
194	Felino	Wasser	Boden	55	45	45	25	25	15
195	Morlord	Wasser	Boden	95	85	85	65	65	35
196	Psiana	Psycho	-	65	65	60	130	95	110
197	Nachtara	Unlicht	-	95	65	110	60	130	65
198	Kramurx	Unlicht	Flug	60	85	42	85	42	91
199	Laschoking	Wasser	Psycho	95	75	80	100	110	30
200	Traunfugil	Geist	-	60	60	60	85	85	85
201	Icognito	Psycho	-	48	72	48	72	48	48
202	Woingenau	Psycho	-	190	33	58	33	58	33
203	Girafarig	Normal	Psycho	70	80	65	90	65	85
204	Tannza	Käfer	-	50	65	90	35	35	15
205	Forstellka	Käfer	Stahl	75	90	140	60	60	40
206	Dummisel	Normal	-	100	70	70	65	65	45
207	Skorgla	Boden	Flug	65	75	105	35	65	85
208	Stahlos	Stahl	Boden	75	85	200	55	65	30
209	Snubbull	Fee	-	60	80	50	40	40	30
210	Granbull	Fee	-	90	120	75	60	60	45
211	Baldorfish	Wasser	Gift	65	95	85	55	55	85
212	Scherox	Käfer	Stahl	70	130	100	55	80	65
213	Pottrott	Käfer	Gestein	20	10	230	10	230	5
214	Skaraborn	Käfer	Kampf	80	125	75	40	95	85
215	Sniebel	Unlicht	Eis	55	95	55	35	75	115
216	Teddiursa	Normal	-	60	80	50	50	50	40
217	Ursaring	Normal	-	90	130	75	75	75	55
218	Schneckmag	Feuer	-	40	40	40	70	40	20
219	Magcargo	Feuer	Gestein	60	50	120	90	80	30
220	Quiekel	Eis	Boden	50	50	40	30	30	50
221	Keifel	Eis	Boden	100	100	80	60	60	50
222	Corasonn	Wasser	Gestein	65	55	95	65	95	35
223	Remoraid	Wasser	-	35	65	35	65	35	65
224	Octillery	Wasser	-	75	105	75	105	75	45
225	Botogel	Eis	Flug	45	55	45	65	45	75
226	Mantax	Wasser	Flug	85	40	70	80	140	70
227	Panzaeron	Stahl	Flug	65	80	140	40	70	70
228	Hunduster	Unlicht	Feuer	45	60	30	80	50	65
229	Hundemon	Unlicht	Feuer	75	90	50	110	80	95
230	Seedraking	Wasser	Drache	75	95	95	95	95	85
231	Phanpy	Boden	-	90	60	60	40	40	40
232	Donphan	Boden	-	90	120	120	60	60	50
233	Porygon2	Normal	-	85	80	90	105	95	60
234	Damhirplex	Normal	-	73	95	62	85	65	85
235	Farbeagle	Normal	-	55	20	35	20	45	75
236	Rabauz	Kampf	-	35	35	35	35	35	35
237	Kapoera	Kampf	-	50	95	95	35	110	70
238	Kussilla	Eis	Psycho	45	30	15	85	65	65
239	Elekid	Elektro	-	45	63	37	65	55	95
240	Magby	Feuer	-	45	75	37	70	55	83
241	Miltank	Normal	-	95	80	105	40	70	100
242	Heiteira	Normal	-	255	10	10	75	135	55
243	Raikou	Elektro	-	90	85	75	115	100	115
244	Entei	Feuer	-	115	115	85	90	75	100
245	Suicune	Wasser	-	100	75	115	90	115	85
246	Larvitar	Gestein	Boden	50	64	50	45	50	41
247	Pupitar	Gestein	Boden	70	84	70	65	70	51
248	Despotar	Gestein	Unlicht	100	134	110	95	100	61
249	Lugia	Psycho	Flug	106	90	130	90	154	110
250	Ho-Oh	Feuer	Flug	106	130	90	110	154	90
251	Celebi	Psycho	Pflanze	100	100	100	100	100	100
252	Geckarbor	Pflanze	-	40	45	35	65	55	70
253	Reptain	Pflanze	-	50	65	45	85	65	95
254	Gewaldro	Pflanze	-	70	85	65	105	85	120
255	Flemmli	Feuer	-	45	60	40	70	50	45
256	Jungglut	Feuer	Kampf	60	85	60	85	60	55
257	Lohgock	Feuer	Kampf	80	120	70	110	70	80
258	Hydropi	Wasser	-	50	70	50	50	50	40
259	Moorabbel	Wasser	Boden	70	85	70	60	70	50
260	Sumpex	Wasser	Boden	100	110	90	85	90	60
261	Fiffyen	Unlicht	-	35	55	35	30	30	35
262	Magnayen	Unlicht	-	70	90	70	60	60	70
263	Zigzachs	Normal	-	38	30	41	30	41	60
264	Geradaks	Normal	-	78	70	61	50	61	100
265	Waumpel	Käfer	-	45	45	35	20	30	20
266	Schaloko	Käfer	-	50	35	55	25	25	15
267	Papinella	Käfer	Flug	60	70	50	100	50	65
268	Panekon	Käfer	-	50	35	55	25	25	15
269	Pudox	Käfer	Gift	60	50	70	50	90	65
270	Loturzel	Wasser	Pflanze	40	30	30	40	50	30
271	Lombrero	Wasser	Pflanze	60	50	50	60	70	50
272	Kappalores	Wasser	Pflanze	80	70	70	90	100	70
273	Samurzel	Pflanze	-	40	40	50	30	30	30
274	Blanas	Pflanze	Unlicht	70	70	40	60	40	60
275	Tengulist	Pflanze	Unlicht	90	100	60	90	60	80
276	Schwalbini	Normal	Flug	40	55	30	30	30	85
277	Schwalboss	Normal	Flug	60	85	60	75	50	125
278	Wingull	Wasser	Flug	40	30	30	55	30	85
279	Pelipper	Wasser	Flug	60	50	100	95	70	65
280	Trasla	Psycho	Fee	28	25	25	45	35	40
281	Kirlia	Psycho	Fee	38	35	35	65	55	50
282	Guardevoir	Psycho	Fee	68	65	65	125	115	80
283	Gehweiher	Käfer	Wasser	40	30	32	50	52	65
284	Maskeregen	Käfer	Flug	70	60	62	100	82	80
285	Knilz	Pflanze	-	60	40	60	40	60	35
286	Kapilz	Pflanze	Kampf	60	130	80	60	60	70
287	Bummelz	Normal	-	60	60	60	35	35	30
288	Muntier	Normal	-	80	80	80	55	55	90
289	Letarking	Normal	-	150	160	100	95	65	100
290	Nincada	Käfer	Boden	31	45	90	30	30	40
291	Ninjask	Käfer	Flug	61	90	45	50	50	160
292	Ninjatom	Käfer	Geist	1	90	45	30	30	40
293	Flurmel	Normal	-	64	51	23	51	23	28
294	Krakeelo	Normal	-	84	71	43	71	43	48
295	Krawumms	Normal	-	104	91	63	91	73	68
296	Makuhita	Kampf	-	72	60	30	20	30	25
297	Hariyama	Kampf	-	144	120	60	40	60	50
298	Azurill	Normal	Fee	50	20	40	20	40	20
299	Nasgnet	Gestein	-	30	45	135	45	90	30
300	Eneco	Normal	-	50	45	45	35	35	50
301	Enekoro	Normal	-	70	65	65	55	55	90
302	Zobiris	Unlicht	Geist	50	75	75	65	65	50
303	Flunkifer	Stahl	Fee	50	85	85	55	55	50
304	Stollunior	Stahl	Gestein	50	70	100	40	40	30
305	Stollrak	Stahl	Gestein	60	90	140	50	50	40
306	Stolloss	Stahl	Gestein	70	110	180	60	60	50
307	Meditie	Kampf	Psycho	30	40	55	40	55	60
308	Meditalis	Kampf	Psycho	60	60	75	60	75	80
309	Frizelbliz	Elektro	-	40	45	40	65	40	65
310	Voltenso	Elektro	-	70	75	60	105	60	105
311	Plusle	Elektro	-	60	50	40	85	75	95
312	Minun	Elektro	-	60	40	50	75	85	95
313	Volbeat	Käfer	-	65	73	75	47	85	85
314	Illumise	Käfer	-	65	47	75	73	85	85
315	Roselia	Pflanze	Gift	50	60	45	100	80	65
316	Schluppuck	Gift	-	70	43	53	43	53	40
317	Schlukwech	Gift	-	100	73	83	73	83	55
318	Kanivanha	Wasser	Unlicht	45	90	20	65	20	65
319	Tohaido	Wasser	Unlicht	70	120	40	95	40	95
320	Wailmer	Wasser	-	130	70	35	70	35	60
321	Wailord	Wasser	-	170	90	45	90	45	60
322	Camaub	Feuer	Boden	60	60	40	65	45	35
323	Camerupt	Feuer	Boden	70	100	70	105	75	40
324	Qurtel	Feuer	-	70	85	140	85	70	20
325	Spoink	Psycho	-	60	25	35	70	80	60
326	Groink	Psycho	-	80	45	65	90	110	80
327	Pandir	Normal	-	60	60	60	60	60	60
328	Knacklion	Boden	-	45	100	45	45	45	10
329	Vibrava	Boden	Drache	50	70	50	50	50	70
330	Libelldra	Boden	Drache	80	100	80	80	80	100
331	Tuska	Pflanze	-	50	85	40	85	40	35
332	Noktuska	Pflanze	Unlicht	70	115	60	115	60	55
333	Wablu	Normal	Flug	45	40	60	40	75	50
334	Altaria	Drache	Flug	75	70	90	70	105	80
335	Sengo	Normal	-	73	115	60	60	60	90
336	Vipitis	Gift	-	73	100	60	100	60	65
337	Lunastein	Gestein	Psycho	90	55	65	95	85	70
338	Sonnfel	Gestein	Psycho	90	95	85	55	65	70
339	Schmerbe	Wasser	Boden	50	48	43	46	41	60
340	Welsar	Wasser	Boden	110	78	73	76	71	60
341	Krebscorps	Wasser	-	43	80	65	50	35	35
342	Krebutack	Wasser	Unlicht	63	120	85	90	55	55
343	Puppance	Boden	Psycho	40	40	55	40	70	55
344	Lepumentas	Boden	Psycho	60	70	105	70	120	75
345	Liliep	Gestein	Pflanze	66	41	77	61	87	23
346	Wielie	Gestein	Pflanze	86	81	97	81	107	43
347	Anorith	Gestein	Käfer	45	95	50	40	50	75
348	Armaldo	Gestein	Käfer	75	125	100	70	80	45
349	Barschwa	Wasser	-	20	15	20	10	55	80
350	Milotic	Wasser	-	95	60	79	100	125	81
351	Formeo	Normal	-	70	70	70	70	70	70
352	Kecleon	Normal	-	60	90	70	60	120	40
353	Shuppet	Geist	-	44	75	35	63	33	45
354	Banette	Geist	-	64	115	65	83	63	65
355	Zwirrlicht	Geist	-	20	40	90	30	90	25
356	Zwirrklop	Geist	-	40	70	130	60	130	25
357	Tropius	Pflanze	Flug	99	68	83	72	87	51
358	Palimpalim	Psycho	-	75	50	80	95	90	65
359	Absol	Unlicht	-	65	130	60	75	60	75
360	Isso	Psycho	-	95	23	48	23	48	23
361	Schneppke	Eis	-	50	50	50	50	50	50
362	Firnontor	Eis	-	80	80	80	80	80	80
363	Seemops	Eis	Wasser	70	40	50	55	50	25
364	Seejong	Eis	Wasser	90	60	70	75	70	45
365	Walraisa	Eis	Wasser	110	80	90	95	90	65
366	Perlu	Wasser	-	35	64	85	74	55	32
367	Aalabyss	Wasser	-	55	104	105	94	75	52
368	Saganabyss	Wasser	-	55	84	105	114	75	52
369	Relicanth	Wasser	Gestein	100	90	130	45	65	55
370	Liebiskus	Wasser	-	43	30	55	40	65	97
371	Kindwurm	Drache	-	45	75	60	40	30	50
372	Draschel	Drache	-	65	95	100	60	50	50
373	Brutalanda	Drache	Flug	95	135	80	110	80	100
374	Tanhel	Stahl	Psycho	40	55	80	35	60	30
375	Metang	Stahl	Psycho	60	75	100	55	80	50
376	Metagross	Stahl	Psycho	80	135	130	95	90	70
377	Regirock	Gestein	-	80	100	200	50	100	50
378	Regice	Eis	-	80	50	100	100	200	50
379	Registeel	Stahl	-	80	75	150	75	150	50
380	Latias	Drache	Psycho	80	80	90	110	130	110
381	Latios	Drache	Psycho	80	90	80	130	110	110
382	Kyogre	Wasser	-	100	100	90	150	140	90
383	Groudon	Boden	-	100	150	140	100	90	90
384	Rayquaza	Drache	Flug	105	150	90	150	90	95
385	Jirachi	Stahl	Psycho	100	100	100	100	100	100
386	Deoxys	Psycho	-	50	150	50	150	50	150
387	Chelast	Pflanze	-	55	68	64	45	55	31
388	Chelcarain	Pflanze	-	75	89	85	55	65	36
389	Chelterrar	Pflanze	Boden	95	109	105	75	85	56
390	Panflam	Feuer	-	44	58	44	58	44	61
391	Panpyro	Feuer	Kampf	64	78	52	78	52	81
392	Panferno	Feuer	Kampf	76	104	71	104	71	108
393	Plinfa	Wasser	-	53	51	53	61	56	40
394	Pliprin	Wasser	-	64	66	68	81	76	50
395	Impoleon	Wasser	Stahl	84	86	88	111	101	60
396	Staralili	Normal	Flug	40	55	30	30	30	60
397	Staravia	Normal	Flug	55	75	50	40	40	80
398	Staraptor	Normal	Flug	85	120	70	50	60	100
399	Bidiza	Normal	-	59	45	40	35	40	31
400	Bidifas	Normal	Wasser	79	85	60	55	60	71
401	Zirpurze	Käfer	-	37	25	41	25	41	25
402	Zirpeise	Käfer	-	77	85	51	55	51	65
403	Sheinux	Elektro	-	45	65	34	40	34	45
404	Luxio	Elektro	-	60	85	49	60	49	60
405	Luxtra	Elektro	-	80	120	79	95	79	70
406	Knospi	Pflanze	Gift	40	30	35	50	70	55
407	Roserade	Pflanze	Gift	60	70	65	125	105	90
408	Koknodon	Gestein	-	67	125	40	30	30	58
409	Rameidon	Gestein	-	97	165	60	65	50	58
410	Schilterus	Gestein	Stahl	30	42	118	42	88	30
411	Bollterus	Gestein	Stahl	60	52	168	47	138	30
412	Burmy	Käfer	-	40	29	45	29	45	36
413	Burmadame	Käfer	Pflanze	60	59	85	79	105	36
414	Moterpel	Käfer	Flug	70	94	50	94	50	66
415	Wadribie	Käfer	Flug	30	30	42	30	42	70
416	Honweisel	Käfer	Flug	70	80	102	80	102	40
417	Pachirisu	Elektro	-	60	45	70	45	90	95
418	Bamelin	Wasser	-	55	65	35	60	30	85
419	Bojelin	Wasser	-	85	105	55	85	50	115
420	Kikugi	Pflanze	-	45	35	45	62	53	35
421	Kinoso	Pflanze	-	70	60	70	87	78	85
422	Schalellos	Wasser	-	76	48	48	57	62	34
423	Gastrodon	Wasser	Boden	111	83	68	92	82	39
424	Ambidiffel	Normal	-	75	100	66	60	66	115
425	Driftlon	Geist	Flug	90	50	34	60	44	70
426	Drifzepeli	Geist	Flug	150	80	44	90	54	80
427	Haspiror	Normal	-	55	66	44	44	56	85
428	Schlapor	Normal	-	65	76	84	54	96	105
429	Traunmagil	Geist	-	60	60	60	105	105	105
430	Kramshef	Unlicht	Flug	100	125	52	105	52	71
431	Charmian	Normal	-	49	55	42	42	37	85
432	Shnurgarst	Normal	-	71	82	64	64	59	112
433	Klingplim	Psycho	-	45	30	50	65	50	45
434	Skunkapuh	Gift	Unlicht	63	63	47	41	41	74
435	Skuntank	Gift	Unlicht	103	93	67	71	61	84
436	Bronzel	Stahl	Psycho	57	24	86	24	86	23
437	Bronzong	Stahl	Psycho	67	89	116	79	116	33
438	Mobai	Gestein	-	50	80	95	10	45	10
439	Pantimimi	Psycho	Fee	20	25	45	70	90	60
440	Wonneira	Normal	-	100	5	5	15	65	30
441	Plaudagei	Normal	Flug	76	65	45	92	42	91
442	Kryppuk	Geist	Unlicht	50	92	108	92	108	35
443	Kaumalat	Drache	Boden	58	70	45	40	45	42
444	Knarksel	Drache	Boden	68	90	65	50	55	82
445	Knakrack	Drache	Boden	108	130	95	80	85	102
446	Mampfaxo	Normal	-	135	85	40	40	85	5
447	Riolu	Kampf	-	40	70	40	35	40	60
448	Lucario	Kampf	Stahl	70	110	70	115	70	90
449	Hippopotas	Boden	-	68	72	78	38	42	32
450	Hippoterus	Boden	-	108	112	118	68	72	47
451	Pionskora	Gift	Käfer	40	50	90	30	55	65
452	Piondragi	Gift	Unlicht	70	90	110	60	75	95
453	Glibunkel	Gift	Kampf	48	61	40	61	40	50
454	Toxiquak	Gift	Kampf	83	106	65	86	65	85
455	Venuflibis	Pflanze	-	74	100	72	90	72	46
456	Finneon	Wasser	-	49	49	56	49	61	66
457	Lumineon	Wasser	-	69	69	76	69	86	91
458	Mantirps	Wasser	Flug	45	20	50	60	120	50
459	Shnebedeck	Pflanze	Eis	60	62	50	62	60	40
460	Rexblisar	Pflanze	Eis	90	92	75	92	85	60
461	Snibunna	Unlicht	Eis	70	120	65	45	85	125
462	Magnezone	Elektro	Stahl	70	70	115	130	90	60
463	Schlurplek	Normal	-	110	85	95	80	95	50
464	Rihornior	Boden	Gestein	115	140	130	55	55	40
465	Tangoloss	Pflanze	-	100	100	125	110	50	50
466	Elevoltek	Elektro	-	75	123	67	95	85	95
467	Magbrant	Feuer	-	75	95	67	125	95	83
468	Togekiss	Fee	Flug	85	50	95	120	115	80
469	Yanmega	Käfer	Flug	86	76	86	116	56	95
470	Folipurba	Pflanze	-	65	110	130	60	65	95
471	Glaziola	Eis	-	65	60	110	130	95	65
472	Skorgro	Boden	Flug	75	95	125	45	75	95
473	Mamutel	Eis	Boden	110	130	80	70	60	80
474	Porygon-Z	Normal	-	85	80	70	135	75	90
475	Galagladi	Psycho	Kampf	68	125	65	65	115	80
476	Voluminas	Gestein	Stahl	60	55	145	75	150	40
477	Zwirrfinst	Geist	-	45	100	135	65	135	45
478	Frosdedje	Eis	Geist	70	80	70	80	70	110
479	Rotom	Elektro	Geist	50	50	77	95	77	91
480	Selfe	Psycho	-	75	75	130	75	130	95
481	Vesprit	Psycho	-	80	105	105	105	105	80
482	Tobutz	Psycho	-	75	125	70	125	70	115
483	Dialga	Stahl	Drache	100	120	120	150	100	90
484	Palkia	Wasser	Drache	90	120	100	150	120	100
485	Heatran	Feuer	Stahl	91	90	106	130	106	77
486	Regigigas	Normal	-	110	160	110	80	110	100
487	Giratina	Geist	Drache	150	100	120	100	120	90
488	Cresselia	Psycho	-	120	70	110	75	120	85
489	Phione	Wasser	-	80	80	80	80	80	80
490	Manaphy	Wasser	-	100	100	100	100	100	100
491	Darkrai	Unlicht	-	70	90	90	135	90	125
492	Shaymin	Pflanze	-	100	100	100	100	100	100
493	Arceus	Normal	-	120	120	120	120	120	120
494	Victini	Psycho	Feuer	100	100	100	100	100	100
495	Serpifeu	Pflanze	-	45	45	55	45	55	63
496	Efoserp	Pflanze	-	60	60	75	60	75	83
497	Serpiroyal	Pflanze	-	75	75	95	75	95	113
498	Floink	Feuer	-	65	63	45	45	45	45
499	Ferkokel	Feuer	Kampf	90	93	55	70	55	55
500	Flambirex	Feuer	Kampf	110	123	65	100	65	65
501	Ottaro	Wasser	-	55	55	45	63	45	45
